"#TEAM,LOGIN,NOM,PRENOM,NAISSANCE,ARRIVEE,FONCTION,MAIL,SKYPE,FIXE,PORTABLE,MANAGER,ROOM"
"SGC","ghammond","Hammond","George","1900/07/17","2014/03/20","General","ghammond@sgc.com","hammond_du_texas.skype","012324567","062324567","","room"
"SG1","joneil","O'Neil","Jack","1900/07/17","2014/03/20","Colonel","oneil@sg1.com","jackoneil.skype","012324567","062324567","ghammond","room"
"SG1","scarter","Carter","Samantha","1900/07/17","2014/03/20","Major","sam@sg1.com","sam.skype","012324567","062324567","joneil","room"
"SG1","tealc","","Teal'c","1900/07/17","2014/03/20","Jaffa","tealc@sg1.com","tealc.skype","012324567","062324567","joneil","room"
"SG1","djackson","Jackson","Daniel","1900/07/17","2014/03/20","Scientist/Spirit","dany@sg1.com","dany.skype","012324567","062324567","joneil","room"
"SG1","jquinn","Quinn","Jonas","1900/07/17","2014/03/20","Nemec","jonas@sg1.com","sam.skype","012324567","062324567","joneil","room"
"SG2","ckawalsky","Kawalsky","Charles","1900/07/17","2014/03/20","Major","kawa@sg2.com","kawa.skype","012324567","062324567","ghammond","room"
"SG2","cwarren","Warren","Carl","1900/07/17","2014/03/20","Major","carl@sg2.com","carl.skype","012324567","062324567","ckawalsky","room"
"SG2","casey","","Casey","1900/07/17","2014/03/20","Soldier","casey@sg2.com","casey.skype","012324567","062324567","ckawalsky","room"
"Medic","jfraiser","Fraiser","Janet","1900/07/17","2014/03/20","Medic","heal@sgc.com","jfraiser.skype","012324567","062324567","ghammond","room"
